Discogs ID,Artist,Title,Year,Genre,Format,Cover URL,Thumb URL
768701,Phil Spector,Echoes Of The 60's,1977,Rock,Vinyl,https://i.discogs.com/5V7X12-Ns7dJl7Vh1raKGWZs8eiSVtvzDVAeoHjM6ho/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc2ODcw/MS0xMzc2OTM5NjM0/LTM5NDAuanBlZw.jpeg,https://i.discogs.com/7jxZ3Gwa3VEjR70fD1gcANdobHQYawkSjT3Ixm80Q54/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc2ODcw/MS0xMzc2OTM5NjM0/LTM5NDAuanBlZw.jpeg
607028,Harry Secombe,How To Win An Election (Or Not Lose By Much),1964,Non-Music,Vinyl,https://i.discogs.com/jpK4gXiVBEv9a1PLHR_5b61KgOcR8IZKSAbKt1DvZEs/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYwNzAy/OC0xNDQwNTA4NjQx/LTQ1OTQuanBlZw.jpeg,https://i.discogs.com/qVW1UDo3znFLoFLzNtRSqvp7K8RTLVo6G3aC4HehOGY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYwNzAy/OC0xNDQwNTA4NjQx/LTQ1OTQuanBlZw.jpeg
4033838,Benny Goodman,The Famous 1938 Carnegie Hall Jazz Concert,1954,Jazz,Vinyl,https://i.discogs.com/mSiEnrUKP3Ul-YMAuGNpUlAhFK23Sm8lUcdu9mz32xI/rs:fit/g:sm/q:90/h:320/w:320/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMzM4/MzgtMTM1MzAyMTAy/NC02MjIwLmpwZWc.jpeg,https://i.discogs.com/BQmIAMw_FVQUhrUiIX_pKy2syiWVAFQodo0XHHdm8Pw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMzM4/MzgtMTM1MzAyMTAy/NC02MjIwLmpwZWc.jpeg
9287809,Pink Floyd,The Dark Side Of The Moon,2016,Rock,Vinyl,https://i.discogs.com/D7Lv-E5A2O2USX79WKD-MjV_4tBvfEpf3BV1cOXoyF0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkyODc4/MDktMTQ3ODEwNTc4/MS03MDM5LmpwZWc.jpeg,https://i.discogs.com/ufakBzNoUCicPx0ksKoyjoO9O4LI1Bhw4dHQuOPWwR4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkyODc4/MDktMTQ3ODEwNTc4/MS03MDM5LmpwZWc.jpeg
2397733,Antonio Carlos Jobim,Antonio Carlos Jobim Plays Jobim,1974,Jazz,Vinyl,https://i.discogs.com/z7X1WkNgmFggSP8x6PgG7KrS48biE3msXxbLD_H3Ukk/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzOTc3/MzMtMTMyNjc2Mzk4/NC5qcGVn.jpeg,https://i.discogs.com/mWdzjNtwVBCQ-ED_zCFJcDW5-IimvrgkJLO1vp_WCsE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzOTc3/MzMtMTMyNjc2Mzk4/NC5qcGVn.jpeg
4013610,The Jam,In The City,1977,Rock,Vinyl,https://i.discogs.com/Hww8B0whmPzZ6enm5dzbUneFp85HAk7pilE9OIPXF1w/rs:fit/g:sm/q:90/h:606/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMTM2/MTAtMTQ0ODAwMzUz/NS05OTA1LmpwZWc.jpeg,https://i.discogs.com/g25Qg4GLJucSeLIrOAlSsuygqFUeDpOgUI_uHKXcjiM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMTM2/MTAtMTQ0ODAwMzUz/NS05OTA1LmpwZWc.jpeg
2511330,Jean-Michel Jarre,Equinoxe,1987,Electronic,Vinyl,https://i.discogs.com/7L3_BlREAlIQEApzhxKlakMeU4ciWr3woSUMkTGEgV8/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MTEz/MzAtMTUzMDA4NzU5/My02NDk3LmpwZWc.jpeg,https://i.discogs.com/65K_gwuqmM1AXuE1ZZV2_SwQNKPY7JhwWGsa0Cv8k28/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MTEz/MzAtMTUzMDA4NzU5/My02NDk3LmpwZWc.jpeg
11540567,Deep Purple,Mark I & II,1974,Rock,Vinyl,https://i.discogs.com/B_ctwfm7Zvj9EI7BCnRc3PfeMzO9Q-WYKLXsrWjdT2A/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNTQw/NTY3LTE1MTgxNzI2/NzItNDA0My5qcGVn.jpeg,https://i.discogs.com/0LFMnguV_fGkin9NLxTsF8-qIcyZcHFbUCs3a7gJ8zc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNTQw/NTY3LTE1MTgxNzI2/NzItNDA0My5qcGVn.jpeg
34122,Jacknife Lee,Kitty Litter,1999,Electronic,Vinyl,https://i.discogs.com/51hEbUyHdN074bvEpcY2dlT6KZYvzQJ8LzZHAA-6oCM/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0MTIy/LTEzODQxNjc2NTQt/ODA4OS5qcGVn.jpeg,https://i.discogs.com/VkJDidTYFUu0PAbLYVAZDxrglZV69qbspSnCLgqjeJ4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0MTIy/LTEzODQxNjc2NTQt/ODA4OS5qcGVn.jpeg
1152307,B.T. Express,Do It ('Til You're Satisfied),1974,Funk / Soul,Vinyl,https://i.discogs.com/yJS7COSE6P6IraWa4q2smum1EnlftWArkHMguNq6Zic/rs:fit/g:sm/q:90/h:550/w:550/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNTIz/MDctMTIxNTA5MTU0/OS5qcGVn.jpeg,https://i.discogs.com/tHqadYovW8a9KOcooaowgqyJUdG7N_mKqKdudNreZMM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNTIz/MDctMTIxNTA5MTU0/OS5qcGVn.jpeg
